sentence,role,embedding_preview
The Appellate Authority observed that Section 80AB is limited to determining the quantum of deductible income included in the gross total income.,Facts,[-0.22035894 -0.51133704 -0.3182962  -0.28596807 -0.01325108]...
"Following a decision of the Income Tax Appellate Tribunal, Mumbai dated 25.04.2003 in Royal Cushion Vinyl Products Ltd. v. Dy.",Facts,[-0.23463243 -0.28251207  0.4101587  -0.3905074   0.63439476]...
"Commissioner of Income Tax, Mumbai (ITA No. 770/MUM/98), the Appellate Authority set aside the order of the Assessing Officer on this count.",Facts,[-0.5251223   0.10265128 -0.41033232  0.01018254 -0.06995445]...
The Appellate Authority directed the Assessing Officer not to restrict the deduction admissible under Section 80IA of the Act to income under the head business.,Facts,[-0.21844548 -0.18872963  0.08209946 -0.08588576  0.41984048]...
The Assessing Officer was further directed to aggregate the deduction under Section 80IA of the Act with the other deductions available to the Assessee and then to allow deductions of such aggregate amount to the extent of gross total income.,Facts,[ 0.21567816 -0.02302546  0.35701847 -0.26144493  0.11740509]...
The order of the Appellate Authority was affirmed by the Tribunal and the High Court on this issue.,Facts,[-0.12171221 -0.06614964  0.14031065 -0.44269586  0.03475859]...
"Aggrieved thereby, the Revenue has come in Appeal.",Facts,[-0.02581773 -0.4056496   0.30025533 -0.3992886  -0.08432334]...
The contention on behalf of the Revenue before us is that the Assessing Officer was right in holding that the deduction under Section 80IA of the Act should be restricted to business income only.,Arguments of Petitioner,[ 0.2306405   0.28391436 -0.59672827 -0.4868515   0.03403243]...
"Mr. Arijit Prasad, learned Senior Counsel appearing on behalf of the Revenue, submitted that Section 80AB of the Act contemplates deductions in respect of incomes against income of the nature specified in the relevant section.",Arguments of Petitioner,[ 0.13511254 -0.00354827 -0.10182657 -0.7101489   0.67260814]...
"He further submitted that Section 80IA(5) makes it clear that the determination of quantum of deduction under subsection (1) of Section 80IA should be on the basis that the source of income from the eligible business was the only source of income of an assessee and therefore, the deduction so determined should be allowed only against business income.",Arguments of Petitioner,[ 0.30505365 -0.1119003   0.24495822 -0.2920172   0.5001295 ]...
"According to him, the phrase derived from in subsection (1) of Section 80IA of the Act indicates that the computation of deduction is restricted only to the profits and gains from the eligible business.",Arguments of Petitioner,[ 0.09797525 -0.14464206  0.18118311 -0.40194818  0.76312023]...
"He relied upon the judgment of this Court in Cambay Electric Supply Industrial Co. Ltd. v. CIT (1978) 2 SCC 644 , followed in Synco Industries Ltd. v. Assessing Officer, Income Tax, Mumbai Anr.",Arguments of Petitioner,[-0.20363694 -0.34149784 -0.16383591 -0.5155541   0.59104514]...
"(2008) 4 SCC 22 and Pandian Chemicals Ltd. v. Commissioner of Income Tax, Madurai (2003) 5 SCC 590. 8",Arguments of Petitioner,[-0.03149169 -0.15497217 -0.0090888   0.43090206 -0.13247924]...
"In response, the Assessee supported the order passed by the Appellate Authority which was upheld by the Tribunal and the High Court.",Arguments of Respondent,[-0.2513445   0.03630543 -0.60299224  0.08682128  0.4928463 ]...
"It is the argument of Mr. Ajay Vohra, learned Senior Counsel appearing on behalf of the Assessee, that Section 80AB of the Act is with reference to computation of deduction on the basis of net income.",Arguments of Respondent,[-0.0449109  -0.04963335 -0.07638364 -0.3004509   0.4142417 ]...
He submitted that there is no indication in subsection (5) of Section 80IA that the deduction under subsection (1) is restricted to business income only.,Arguments of Respondent,[-0.1482962  -0.17757587  0.01923519  0.0548749   0.8998862 ]...
"On the other hand, according to him, sub section (5) deals with determination of the quantum of deduction by treating eligible business as the only source of income of the Assessee.",Arguments of Respondent,[-0.21398386 -0.36654493  0.34681576 -0.2032909   0.97274095]...
"Subsection (5), therefore, is concerned with computation of the deduction, which is at a stage prior to allowing the deduction so computed.",Arguments of Respondent,[ 0.26027545  0.24162027  0.81655926 -0.42406222  0.53085434]...
He submitted that there is no dispute that the computation of deduction is only from the eligible business.,Arguments of Respondent,[ 0.23236401  0.27726796  0.04860039 -0.09034257  0.24846095]...
"The claim of the Assessee, as accepted by the Appellate Authority, is that there is no restriction on taking into account income from any other source while allowing the deduction computed under Section 80IA, subject to the aggregate of all deductions under Chapter VIA not exceeding the gross total income.",Arguments of Respondent,[ 0.44648498 -0.02435615  0.04864401 -0.4253538   0.55755746]...
"He relied upon judgments of this Court in CIT (Central), Madras v. Canara Workshops (P) Ltd., Kodialball, Mangalore (1986) 3 SCC 538 and Synco Industries (supra) to argue that subsection (5) of Section 80IA of the Act does not restrict permissible deduction under subsection (1) to be allowed against business income only.",Arguments of Respondent,[-0.04977789 -0.34866786 -0.18333107 -0.24344532  0.44508207]...
The learned Senior Counsel for the Assessee relied upon the judgment of the Bombay High Court in Commissioner of Incometax v. Tridoss Laboratories Ltd. 2010 328 ITR 448 (Bombay) to argue that the Appeal should not be allowed.,Arguments of Respondent,[-0.08881121 -0.07275148 -0.36334267 -0.18249825  0.4908515 ]...
The controversy in this case pertains to the deduction under Section 80IA of the Act being allowed to the extent of business income only.,Issue,[ 0.27869105  0.39991394  0.15312451 -0.4350673   0.28371784]...
The claim of the Assessee that deduction under Section 80IA should be allowed to the extent of gross total income was rejected by the Assessing Officer.,Reasoning,[-0.15332891  0.08190454 -0.17159644 -0.04836717  0.46955842]...
"As stated above, Section 80AB was inserted in the year 1981 to get over a judgment of this Court in Cloth Traders (P) Ltd. (supra).",Reasoning,[-0.45925456  0.04368541  0.5673746  -0.4698942   0.22169277]...
The Circular dated 22.09.1980 issued by the CBDT makes it clear that the reason for introduction of Section 80AB of the Act was for the deductions under Part C of Chapter VIA of the Act to be made on the net income of the eligible business and not on the total profits from the eligible business.,Reasoning,[ 0.1823243  -0.30942765  0.17347538 -0.359934    1.0219525 ]...
A plain reading of Section 80AB of the Act shows that the provision pertains to determination of the quantum of deductible income in the gross total income.,Reasoning,[ 0.05302034 -0.56590635  0.31785983 -0.29477638  0.6839394 ]...
Section 80AB cannot be read to be curtailing the width of Section 80IA.,Reasoning,[-0.15683901 -0.56681424 -0.29624635 -0.23378175  0.06099442]...
"It is relevant to take note of Section 80A(1) which stipulates that in computation of the total income of an assessee, deductions specified in Section 80C to Section 80U of the Act shall be allowed from his gross total income.",Reasoning,[-0.12524337 -0.08750031  0.2669703  -0.4599348   0.87031335]...
Subsection (2) of Section 80A of the Act provides that the aggregate amount of the deductions under Chapter VIA shall not exceed the gross total income of the Assessee.,Reasoning,[-0.15003371 -0.11111445  0.07003953 -0.03841348  0.54538643]...
We are in agreement with the Appellate Authority that Section 80AB of the Act which deals with determination of deductions under Part C of Chapter VIA is with respect only to computation of deduction on the basis of net income.,Reasoning,[-0.24387307 -0.48543432  0.07451142 -0.43370104  0.46640822]...
"Notwithstanding anything contained in any other provision of this Act, the profits and gains of an eligible business to which the provisions of sub section (1) apply shall, for the purposes of determining the quantum of deduction under that subsection for the assessment year immediately succeeding the initial assessment year or any subsequent assessment year, be computed as if such eligible business were the only source of income of the assessee during the previous year relevant to the initial assessment year and to every subsequent assessment year up to and including the assessment year for which the determination is to be made.",Reasoning,[ 0.03255069 -0.21791905  0.52836764 -0.6972876   0.5198419 ]...
The essential ingredients of Section 80IA (1) of the Act are a) the gross total income of an assessee should include profits and gains b) those profits and gains are derived by an undertaking or an enterprise from a business referred to in sub section (4) c),Reasoning,[ 0.15143982  0.27335802  0.40537876 -0.70137     0.62142086]...
The import of Section 80IA is that the total income of an assessee is computed by taking into account the allowable deduction of the profits and gains derived from the eligible business.,Reasoning,[ 0.05793461  0.09591053  0.31111118 -0.31643495  0.3103916 ]...
"With respect to the facts of this Appeal, there is no dispute that the deduction quantified under Section 80IA is Rs.492,78,60,973/. To make it clear, the said amount represents the net profit made by the Assessee from the eligible business covered under subsection (4), i.e., from the Assessees business unit involved in generation of power.",Reasoning,[ 0.38708794  0.01719439  0.35598746 -0.52073616  0.6530854 ]...
"The claim of the Assessee is that in computing its total income, deductions available to it have to be setoff against the gross total income, while the Revenue contends that it is only the business income which has to be taken into account for the purpose of settingoff the deductions under Sections 80IA and 80IB of the Act.",Reasoning,[ 0.16461019  0.12534146  0.10215916 -0.16707176  0.27216646]...
"To illustrate, the gross total income of the Assessee for the assessment year 200203 is less than the quantum of deduction determined under Section 80IA of the Act.",Arguments of Respondent,[ 0.08569594 -0.41344568  0.31074885 -0.2815862   0.55942166]...
"The Assessee contends that income from all other heads including income from other sources, in addition to business income, have to be taken into account for the purpose of allowing the deductions available to the Assessee, subject to the ceiling of gross total income.",Arguments of Respondent,[ 0.11849797  0.16606666 -0.01238569 -0.08114562  0.91466683]...
"The Appellate Authority was of the view that there is no limitation on deduction admissible under Section 80IA of the Act to income under the head business only, with which we agree.",Reasoning,[ 0.32617104 -0.29653573  0.00919767 -0.3002288   0.6683717 ]...
The other contention of the Revenue is that subsection (5) of Section 80IA refers to computation of quantum of deduction being limited from eligible business by taking it as the only source of income.,Arguments of Petitioner,[-0.07485741 -0.26247546  0.57914114 -0.19725093  0.5904255 ]...
It is contended that the language of subsection (5) makes it clear that deduction contemplated in subsection (1) is only with respect to the income from eligible business which indicates that there is a cap in subsection (1) that the deduction cannot exceed the business income.,Arguments of Petitioner,[-0.09339736 -0.3374062   0.11973605 -0.40165624  0.7355244 ]...
"On the other hand, it is the case of the Assessee that subsection (5) pertains only to determination of the quantum of deduction under subsection (1) by treating the eligible business as the only source of income.",Arguments of Petitioner,[ 0.03384406 -0.03684755  0.6085212  -0.16671081  0.6879126 ]...
"It was submitted by Mr. Vohra, learned Senior Counsel, that the final computation of deduction under Section 80IA for the assessment year 200203 as accepted by the Assessing Officer, was arrived at by taking into account the profits from the eligible business as the only source of income.",Arguments of Petitioner,[-0.08675496  0.06108645 -0.28118497 -0.57602173  0.39911175]...
"He submitted that, however, subsection (5) is a step antecedent to the treatment to be given to the deduction under sub section (1) and is not concerned with the extent to which the computed deduction be allowed.",Arguments of Petitioner,[ 0.02840202  0.09011466 -0.23930568 -0.2920401   0.477689  ]...
"To explain the interplay between subsection (5) and subsection (1) of Section 80IA, it will be useful to refer to the facts of this Appeal.",Reasoning,[ 0.07192224 -0.76314247 -0.19264944 -0.17113473 -0.00654917]...
"The amount of deduction from the eligible business computed under Section 80IA for the assessment year 200203 is Rs. 492,78,60,973 .",Reasoning,[ 0.31912985  0.39417136  0.50886637 -0.00817138  0.7565562 ]...
There is no dispute that the said amount represents income from the eligible business under Section 80IA and is the only source of income for the purposes of computing deduction under Section 80IA.,Reasoning,[ 0.09006465  0.127957    0.1259021  -0.41278994  0.7015494 ]...
The question that arises further with reference to allowing the deduction so computed to arrive at the total income of the Assessee cannot be determined by resorting to interpretation of sub section (5).,Issue,[-0.03134097  0.17564698  0.3370798  -0.26859677  0.14765137]...
"Section 80I(6), which is in pari materia to Section 80IA(5), is as follows 80I(6)",Reasoning,[-0.22829357 -0.5484059  -0.25666532 -0.23508012 -0.0822733 ]...
"Notwithstanding anything contained in any other provision of this Act, the profits and gains of an industrial undertaking or a ship or the business of a hotel or the business of repairs to oceangoing vessels or other powered craft to which the provisions of subsection (1) apply shall, for the purposes of determining the quantum of deduction under sub section (1) for the assessment year immediately succeeding the initial assessment year or any subsequent assessment year, be computed as if such industrial undertaking or ship or the business of the hotel or the business of repairs to oceangoing vessels or other powered craft were the only source of income of the assessee during the previous years relevant to the initial assessment year and to every subsequent assessment year up to and including the assessment year for which the determination is to be made.",Reasoning,[-0.30877423  0.00924677  0.42532694 -0.61516005  0.52655387]...
"It was held in Synco Industries (supra) that for the purpose of calculating the deduction under Section 80I, loss sustained in other divisions or units cannot be taken into account as subsection (6) contemplates that only profits from the industrial undertaking shall be taken into account as it was the only source of income.",Reasoning,[-0.06029024 -0.28092644  0.40066823 -0.64953333  0.64020395]...
"Further, the Court concluded that Section 80I(6) of the Act dealt with actual computation of deduction whereas Section 80I(1) of the Act dealt with the treatment to be given to such deductions in order to arrive at the total income of the assessee.",Reasoning,[-0.24157783 -0.27579582  0.16469435 -0.5413041   0.31943515]...
"The Assessee also relied on the judgment of this Court in Canara Workshops (P) Ltd., Kodialball, Mangalore (supra) to emphasize the purpose of subsection (5) of Section 80IA.",Reasoning,[-0.21592799  0.12085176  0.35899287 -0.0333497   0.2986224 ]...
"In this case, the question that arose for consideration before this Court related to computation of the profits for the purpose of deduction under Section 80E, as it then existed, after setting off the loss incurred by the assessee in the manufacture of alloy steels.",Reasoning,[-0.01781727 -0.26035368 -0.05332328 -0.57770073  0.33724248]...
"Section 80E of the Act, as it then existed, permitted deductions in respect of profits and gains attributable to the business of generation or distribution of electricity or any other form of power or of construction, manufacture or production of any one or more of the articles or things specified in the list in the Fifth Schedule.",Reasoning,[ 0.08211543  0.17826563  0.11555502 -0.38377133  0.47475347]...
It was argued on behalf of the Revenue that the profits from the automobile ancillaries industry of the assessee must be reduced by the loss suffered by the assessee in the manufacture of alloy steels.,Reasoning,[-0.6920874   0.01568635  0.34499183  0.14343578  0.82302266]...
This Court was not in agreement with the submissions made by the Revenue.,Reasoning,[-0.28123626 -0.49937975 -0.15956783 -0.23348956 -0.00345596]...
It was held that the profits and gains by an industry entitled to benefit under Section 80E cannot be reduced by the loss suffered by any other industry or industries owned by the assessee.,Reasoning,[-0.1283266  -0.14639962 -0.05648781 -0.4402446   0.09252151]...
"In the case before us, there is no discussion about Section 80IA(5) by the Appellate Authority, nor the Tribunal and the High Court.",Reasoning,[-0.15453535  0.12372174 -0.5603688   0.19459985  0.70083076]...
"However, we have considered the submissions on behalf of the Revenue as it has a bearing on the interpretation of subsection (1) of Section 80IA of the Act.",Reasoning,[ 0.22589692 -0.25165364 -0.23707093 -0.5502436   0.22859742]...
We hold that the scope of subsection (5) of Section 80 IA of the Act is limited to determination of quantum of deduction under subsection (1) of Section 80IA of the Act by treating eligible business as the only source of income.,Reasoning,[ 0.0747844   0.15657508  0.20232016 -0.18202858  0.25500607]...
Subsection (5) cannot be pressed into service for reading a limitation of the deduction under subsection (1) only to business income.,Reasoning,[-0.04399544  0.04764205  0.40525195 -0.53185654  0.34830716]...
An attempt was made by the learned Senior Counsel for the Revenue to rely on the phrase derived from in Section 80IA (1) of the Act in respect of his submission that the intention of the legislature was to give the narrowest possible construction to deduction admissible under this subsection.,Reasoning,[-0.02631745 -0.12037068 -0.3474243   0.11040671  0.04849153]...
It is not necessary for us to deal with this submission in view of the findings recorded above.,Reasoning,[ 0.27851105  0.46776065  0.2037141  -0.4605237   0.0340949 ]...
"For the aforementioned reasons, the Appeal is dismissed qua the issue of the extent of deduction under Section 80IA of the Act.",Decision,[-0.24152198  0.37351942  0.82127345  0.17873551  0.47467396]...
"Civil Appeal No. 1327 of 2021, Civil Appeal No. 1329 of 2021, Civil Appeal No. 2537 of 2016, Civil Appeal No. 1408 of 2021 and Civil Appeal No. 1508 of 2021 are disposed of in terms of the above judgment.",Decision,[-0.12780714 -0.13207258  0.7668951  -0.17568399  0.7628585 ]...
Civil Appeal No. 1509 of 2021 is detagged as the questions arising therein are not related to the aforementioned issue.,Decision,[ 0.00668498 -0.00214136  0.66919124 -0.6060026   0.40206674]...
